Title,Keyword Used,Company,Area,Posted On,Number of Applicants,Seniority level,Employment type,Job function,Industries,Nivel de antigüedad,Tipo de empleo,Función laboral,Sectores
Data Scientist,data scientist,Fractal,United States,1 hour ago,,Mid-Senior level,Full-time,"Information Technology, Consulting, and Engineering","Real Estate and Equipment Rental Services, Technology, Information and Media, and IT Services and IT Consulting"
Data Scientist,data scientist,L.E.K. Consulting,Los Angeles Metropolitan Area,7 hours ago,69 applicants,Mid-Senior level,Full-time,Engineering and Information Technology,Business Consulting and Services
Data Scientist,data scientist,NuvoLogic Consulting,"McLean, VA",6 hours ago,86 applicants,Mid-Senior level,Full-time,Consulting,Non-profit Organizations and Primary and Secondary Education
Machine Learning Engineer,data scientist,Feedly,New York City Metropolitan Area,29 minutes ago,,Mid-Senior level,Full-time,Engineering and Information Technology,"Technology, Information and Internet"
Junior Data Scientist,data scientist,Dun & Bradstreet,"Florham Park, NJ",7 hours ago,,Associate,Full-time,"Engineering, Information Technology, and Science","IT Services and IT Consulting, Information Services, and IT System Data Services"
Data Scientist,data scientist,Wipro,"Austin, TX",26 minutes ago,32 applicants,Mid-Senior level,Full-time,"Information Technology, Engineering, and Strategy/Planning","Technology, Information and Media, Information Services, and IT Services and IT Consulting"
"R&D, Data Scientist",data scientist,"Castle Biosciences, Inc.","Friendswood, TX",18 hours ago,82 applicants,Mid-Senior level,Full-time,"Research, Analyst, and Information Technology",Biotechnology Research
"Senior Data Scientist, Lodging Pricing",data scientist,Hopper,"New York, NY",3 hours ago,30 applicants,Mid-Senior level,Full-time,Engineering and Information Technology,"Technology, Information and Internet"
Junior Data Scientist,data scientist,Patterned Learning Career,"Hilo, HI",9 hours ago,46 applicants,Entry level,Full-time,Information Technology,Software Development
Junior Data Scientist,data scientist,Patterned Learning Career,"Bridgeport, CT",15 hours ago,112 applicants,Entry level,Full-time,Information Technology,Software Development
Data Scientist,data scientist,Prospect 33,"Dallas, TX",5 hours ago,,Associate,Full-time,Information Technology,Financial Services
Junior Data Scientist,data scientist,HireMeFast LLC,"Sandy, UT",9 hours ago,72 applicants,Entry level,Full-time,Information Technology,Software Development
(US Remote) Data Scientist : Healthcare Claims Data ,data scientist,The Mullings Group,United States,8 hours ago,,Mid-Senior level,Full-time,"Information Technology, Analyst, and Science","Technology, Information and Internet, Hospitals and Health Care, and Insurance"
Data Scientist,data scientist,Alliant - The Audience Company,"Brewster, NY",7 hours ago,,Mid-Senior level,Full-time,Accounting/Auditing and Finance,Advertising Services
Machine Learning Engineer,data scientist,Niktor Inc,"Austin, TX",3 hours ago,43 applicants,Mid-Senior level,Full-time,Engineering and Information Technology,IT Services and IT Consulting
Data Scientist - Finance Data & Insights,data scientist,Spotify,"New York, NY",3 hours ago,,Mid-Senior level,Full-time,Finance,Musicians
Data Scientist - Finance Data & Insights,data scientist,Spotify,"New York, NY",3 hours ago,,Mid-Senior level,Full-time,Finance,Musicians
AI Engineer - Video AI,data scientist,LinkedIn,"New York, NY",4 hours ago,,Not Applicable,Full-time,Engineering,"Technology, Information and Internet and IT Services and IT Consulting"
Data Scientist,data scientist,Aquent,"Portland, Oregon Metropolitan Area",1 hour ago,41 applicants,Mid-Senior level,Full-time,Information Technology,Retail
Junior Machine Learning Engineer,data scientist,HireMeFast LLC,"Sitka, AK",9 hours ago,48 applicants,Entry level,Full-time,Information Technology,Software Development
Machine Learning Engineer,data scientist,Wipro,United States,3 hours ago,,Mid-Senior level,Full-time,Information Technology,IT Services and IT Consulting
Senior Data Scientist - Inference & Algorithms,data scientist,LinkedIn,"Sunnyvale, CA",12 hours ago,,Not Applicable,Full-time,Engineering,"Technology, Information and Internet and IT Services and IT Consulting"
